,applicant_id,academy_day_id,psychometrics,presentation,self_development,geo_flex,financial_support_self,result,course_interest
0,19080001,91,51,19,0,1,1,0,Data
1,19080010,91,51,19,0,1,1,0,Business
2,19080044,91,55,16,1,1,1,1,Engineering
3,19080046,91,59,21,1,1,1,1,Business
4,19080049,91,66,25,0,1,1,0,Data
5,19080076,91,61,16,1,1,1,1,Business
6,19080111,91,59,18,1,1,0,0,Data
7,19080114,91,52,18,1,0,1,0,Business
8,19080123,91,63,28,0,1,1,0,Engineering
9,19080134,91,60,20,1,1,1,1,Data
10,19080167,91,52,18,1,1,1,1,Data
11,19080180,91,56,26,1,0,1,0,Data
12,19080184,91,59,26,1,1,1,1,Engineering
13,19080223,91,52,16,1,1,1,1,Data
14,19080244,91,58,22,1,0,1,0,Business
15,19080327,91,59,17,1,1,1,0,Business
16,19080338,91,55,19,1,1,1,1,Engineering
17,19080340,91,63,17,1,1,0,0,Data
18,19080370,91,54,22,1,1,1,1,Data
19,19080373,91,56,20,1,1,1,0,Data
20,19080384,91,53,17,1,1,1,1,Data
21,19080391,91,54,18,1,1,1,1,Data
22,19080407,91,57,18,1,1,1,1,Business
23,19080425,91,56,19,1,1,1,1,Data
24,19080428,91,64,18,1,1,1,1,Engineering
25,19080439,91,59,28,1,1,0,0,Engineering
26,19050008,51,54,16,0,1,1,0,Data
27,19050056,51,66,15,1,1,1,1,Data
28,19050082,51,60,20,1,1,0,0,Data
29,19050103,51,51,15,1,1,1,1,Data
30,19050113,51,59,18,1,1,1,1,Data
31,19050136,51,69,18,1,0,1,0,Engineering
32,19050144,51,67,18,1,1,1,1,Engineering
33,19050149,51,53,16,1,0,1,0,Data
34,19050160,51,60,17,1,1,1,1,Data
35,19050162,51,63,23,1,1,1,1,Business
36,19050170,51,53,22,1,1,1,1,Business
37,19050173,51,50,21,1,1,1,1,Data
38,19050213,51,60,21,0,1,1,0,Engineering
39,19050250,51,55,16,0,1,1,0,Business
40,19050263,51,57,23,0,1,1,0,Engineering
41,19050269,51,50,21,1,0,1,0,Data
42,19050285,51,58,15,0,1,1,0,Engineering
43,19050322,51,52,16,1,1,1,1,Engineering
44,19050356,51,65,21,1,1,1,1,Data
45,19050373,51,50,23,0,0,1,0,Data
46,19050386,51,57,18,1,1,0,0,Data
47,19050387,51,67,26,1,1,1,1,Data
48,19100067,116,54,22,1,1,1,1,Engineering
49,19100104,116,53,18,1,1,1,1,Business
50,19100147,116,52,21,1,1,1,1,Engineering
51,19100148,116,57,22,1,1,1,1,Business
52,19100174,116,52,18,1,0,1,0,Data
53,19100214,116,59,15,1,1,1,1,Data
54,19100229,116,60,15,1,0,1,0,Business
55,19100245,116,55,21,1,1,1,1,Engineering
56,19100248,116,52,23,1,1,1,1,Data
57,19100252,116,55,19,1,1,1,1,Business
