,cohort_id,stream,trainer,start_date,weeks
0,BUSINESS20,Business,6,2019/02/11,8
1,BUSINESS21,Business,0,2019/03/18,8
2,BUSINESS22,Business,6,2019/04/15,8
3,BUSINESS23,Business,14,2019/05/20,8
4,BUSINESS24,Business,15,2019/07/15,8
5,BUSINESS25,Business,6,2019/07/29,10
6,BUSINESS26,Business,7,2019/08/12,8
7,BUSINESS27,Business,1,2019/09/16,8
8,BUSINESS28,Business,3,2019/10/21,8
9,BUSINESS29,Business,0,2019/11/18,10
10,BUSINESS30,Business,3,2019/12/30,10
11,DATA28,Data,16,2019/02/18,8
12,DATA29,Data,9,2019/03/04,10
13,DATA30,Data,2,2019/04/08,8
14,DATA31,Data,10,2019/05/20,10
15,DATA32,Data,5,2019/07/22,8
16,DATA33,Data,10,2019/08/05,10
17,DATA34,Data,10,2019/08/19,10
18,DATA35,Data,10,2019/09/23,10
19,DATA36,Data,5,2019/10/28,10
20,DATA37,Data,2,2019/11/18,10
21,DATA38,Data,9,2019/12/16,8
22,DATA39,Data,16,2019/12/30,8
23,ENGINEERING17,Engineering,4,2019/02/18,10
24,ENGINEERING18,Engineering,11,2019/04/01,8
25,ENGINEERING19,Engineering,8,2019/04/29,10
26,ENGINEERING20,Engineering,13,2019/05/27,10
27,ENGINEERING21,Engineering,11,2019/07/15,8
28,ENGINEERING22,Engineering,12,2019/07/22,8
29,ENGINEERING23,Engineering,4,2019/08/12,10
30,ENGINEERING24,Engineering,4,2019/09/16,8
31,ENGINEERING25,Engineering,11,2019/09/23,10
32,ENGINEERING26,Engineering,13,2019/10/28,8
33,ENGINEERING27,Engineering,11,2019/11/25,10
34,ENGINEERING28,Engineering,13,2019/12/16,8
35,ENGINEERING29,Engineering,13,2019/12/30,8
