,applicant_id,weakness_id
0,19080000,0
1,19080000,1
2,19080000,2
3,19080001,3
4,19080001,4
5,19080001,5
6,19080002,2
7,19080002,1
8,19080002,6
9,19080003,7
10,19080003,8
11,19080007,9
12,19080007,7
13,19080007,4
14,19080008,10
15,19080009,11
16,19080009,12
17,19080009,13
18,19080010,12
19,19080010,14
20,19080011,15
21,19080013,16
22,19080013,17
23,19080014,7
24,19080014,10
25,19080014,14
26,19080016,12
27,19080016,8
28,19080016,2
29,19080017,8
30,19080018,18
31,19080018,3
32,19080018,12
33,19080021,13
34,19080023,5
35,19080023,8
36,19080023,2
37,19080025,5
38,19080027,9
39,19080027,1
40,19080028,13
41,19080030,6
42,19080031,1
43,19080031,19
44,19080031,9
45,19080032,1
46,19080035,3
47,19080035,11
48,19080036,11
49,19080036,20
50,19080038,21
51,19080038,13
52,19080039,3
53,19080039,12
54,19080039,10
55,19080041,14
56,19080043,14
57,19080043,4
58,19080044,11
59,19080044,17
60,19080044,5
61,19080045,18
62,19080045,6
63,19080045,4
64,19080046,5
65,19080047,21
66,19080047,16
67,19080049,18
68,19080049,8
69,19080050,3
70,19080051,7
71,19080051,2
72,19080051,21
73,19080052,18
74,19080053,11
75,19080053,0
76,19080054,17
77,19080057,10
78,19080057,19
79,19080057,5
80,19080058,0
81,19080058,18
82,19080059,7
83,19080059,22
84,19080060,19
85,19080061,0
86,19080062,7
87,19080064,23
88,19080065,3
89,19080066,5
90,19080066,6
91,19080068,9
92,19080072,15
93,19080072,0
94,19080072,1
95,19080073,17
96,19080073,12
97,19080075,8
98,19080075,2
99,19080076,10
100,19080076,16
101,19080077,11
102,19080078,9
103,19080078,15
104,19080078,12
105,19080079,7
106,19080079,0
107,19080080,21
108,19080081,23
109,19080081,1
110,19080084,6
111,19080084,18
112,19080084,19
113,19080085,11
114,19080085,14
115,19080085,15
116,19080085,11
117,19080085,14
118,19080085,15
119,19080087,4
120,19080087,0
121,19080087,18
122,19080089,12
123,19080089,15
124,19080090,18
125,19080090,1
126,19080092,0
127,19080093,22
128,19080095,2
129,19080095,8
130,19080096,1
131,19080096,23
132,19080097,2
133,19080097,16
134,19080098,23
135,19080098,6
136,19080098,19
137,19080099,5
138,19080099,8
139,19080101,6
140,19080101,4
141,19080102,4
142,19080102,20
143,19080102,14
144,19080104,9
145,19080106,16
146,19080106,23
147,19080107,23
148,19080107,22
149,19080108,7
150,19080109,4
151,19080109,0
152,19080109,8
153,19080110,13
154,19080110,15
155,19080110,7
156,19080111,15
157,19080111,22
158,19080111,10
159,19080112,10
160,19080114,3
161,19080114,21
162,19080115,3
163,19080115,22
164,19080116,9
165,19080116,8
166,19080116,0
167,19080117,4
168,19080117,8
169,19080120,23
170,19080121,22
171,19080121,11
172,19080121,12
173,19080123,5
174,19080123,20
175,19080123,12
176,19080124,5
177,19080125,1
178,19080126,5
179,19080128,19
180,19080129,22
181,19080130,21
182,19080131,4
183,19080131,1
184,19080132,8
185,19080132,14
186,19080134,19
187,19080134,5
188,19080134,16
189,19080136,1
190,19080138,18
191,19080138,9
192,19080138,6
193,19080139,17
194,19080139,11
195,19080140,20
196,19080140,21
197,19080141,17
198,19080142,18
199,19080142,5
200,19080142,17
201,19080143,2
202,19080143,12
203,19080143,13
204,19080144,12
205,19080144,2
206,19080145,23
207,19080148,18
208,19080148,15
209,19080148,8
210,19080149,21
211,19080149,5
212,19080149,13
213,19080151,17
214,19080151,4
215,19080152,5
216,19080153,2
217,19080154,6
218,19080154,5
219,19080156,4
220,19080158,11
221,19080158,18
222,19080158,20
223,19080159,8
224,19080159,5
225,19080162,23
226,19080162,5
227,19080165,7
228,19080165,12
229,19080167,23
230,19080167,21
231,19080167,13
232,19080168,10
233,19080169,15
234,19080169,12
235,19080169,13
236,19080170,21
237,19080170,22
238,19080170,13
239,19080171,9
240,19080173,5
241,19080173,21
242,19080173,9
243,19080174,16
244,19080174,12
245,19080175,6
246,19080179,18
247,19080179,12
248,19080180,0
249,19080180,3
250,19080181,10
251,19080181,4
252,19080181,20
253,19080182,5
254,19080184,2
255,19080187,0
256,19080187,14
257,19080187,23
258,19080191,1
259,19080192,7
260,19080193,14
261,19080193,17
262,19080193,16
263,19080194,7
264,19080194,4
265,19080194,13
266,19080195,16
267,19080195,13
268,19080196,9
269,19080196,1
270,19080197,16
271,19080197,9
272,19080197,20
273,19080198,17
274,19080198,5
275,19080199,0
276,19080200,4
277,19080200,6
278,19080201,20
279,19080202,4
280,19080203,9
281,19080203,2
282,19080203,3
283,19080206,20
284,19080207,9
285,19080207,20
286,19080207,19
287,19080209,1
288,19080209,12
289,19080209,2
290,19080210,4
291,19080211,16
292,19080212,12
293,19080212,14
294,19080212,16
295,19080213,19
296,19080213,3
297,19080214,13
298,19080214,23
299,19080215,17
300,19080215,20
301,19080215,23
302,19080216,16
303,19080216,5
304,19080217,4
305,19080217,13
306,19080217,17
307,19080217,4
308,19080217,13
309,19080217,17
310,19080218,8
311,19080218,5
312,19080220,13
313,19080220,22
314,19080221,5
315,19080221,20
316,19080221,11
317,19080222,4
318,19080222,3
319,19080223,8
320,19080224,18
321,19080224,5
322,19080224,17
323,19080225,7
324,19080225,15
325,19080226,16
326,19080227,4
327,19080227,22
328,19080227,3
329,19080228,0
330,19080228,20
331,19080228,19
332,19080229,6
333,19080229,20
334,19080231,19
335,19080233,15
336,19080234,3
337,19080234,17
338,19080235,19
339,19080236,13
340,19080238,2
341,19080242,2
342,19080244,23
343,19080245,14
344,19080246,21
345,19080247,22
346,19080248,2
347,19080248,13
348,19080248,23
349,19080249,19
350,19080249,2
351,19080249,3
352,19080250,9
353,19080250,20
354,19080250,12
355,19080251,0
356,19080252,0
357,19080252,8
358,19080253,8
359,19080253,19
360,19080254,4
361,19080254,7
362,19080254,20
363,19080255,8
364,19080256,17
365,19080256,7
366,19080256,6
367,19080257,0
368,19080258,2
369,19080259,10
370,19080259,11
371,19080259,0
372,19080260,9
373,19080260,14
374,19080261,1
375,19080261,13
376,19080263,23
377,19080263,19
378,19080263,14
379,19080264,23
380,19080264,10
381,19080266,6
382,19080266,12
383,19080267,5
384,19080267,11
385,19080270,8
386,19080270,6
387,19080270,21
388,19080272,0
389,19080272,12
390,19080272,16
391,19080276,17
392,19080276,8
393,19080276,15
394,19080277,20
395,19080277,19
396,19080278,23
397,19080278,2
398,19080279,3
399,19080281,18
400,19080281,21
401,19080281,13
402,19080283,17
403,19080287,2
404,19080287,10
405,19080287,8
406,19080289,10
407,19080289,7
408,19080289,0
409,19080291,11
410,19080292,10
411,19080292,12
412,19080293,0
413,19080293,10
414,19080293,3
415,19080294,6
