,applicant_id,language_name,scores
0,19080000,0,6
0,19080000,1,5
0,19080000,2,2
0,19080000,3,2
1,19080001,4,1
1,19080001,0,4
1,19080001,1,2
1,19080001,5,4
2,19080002,6,4
2,19080002,5,4
3,19080003,1,3
3,19080003,7,4
4,19080007,4,3
4,19080007,1,4
4,19080007,6,1
4,19080007,2,2
4,19080007,8,2
4,19080007,5,3
5,19080008,0,3
5,19080008,1,1
5,19080008,8,4
6,19080009,7,3
6,19080009,8,3
6,19080009,5,2
7,19080010,6,2
7,19080010,2,5
7,19080010,7,1
7,19080010,3,1
8,19080011,4,8
8,19080011,6,2
8,19080011,3,2
9,19080013,4,3
9,19080013,0,2
9,19080013,5,5
9,19080013,3,1
10,19080014,8,3
10,19080014,3,4
11,19080016,4,3
11,19080016,6,4
11,19080016,3,2
12,19080017,4,4
12,19080017,6,5
12,19080017,2,7
12,19080017,5,1
13,19080018,8,2
14,19080021,4,4
14,19080021,0,3
14,19080021,1,3
15,19080023,4,4
15,19080023,0,3
15,19080023,6,3
15,19080023,3,3
16,19080025,4,3
16,19080025,0,3
16,19080025,7,2
16,19080025,8,1
17,19080027,4,2
17,19080027,0,7
17,19080027,6,4
17,19080027,3,2
18,19080028,,0
19,19080030,5,1
20,19080031,0,4
20,19080031,1,5
21,19080032,4,2
21,19080032,0,1
21,19080032,6,2
21,19080032,5,3
22,19080035,4,1
22,19080035,0,3
22,19080035,2,2
22,19080035,7,2
23,19080036,6,6
23,19080036,2,4
23,19080036,7,4
23,19080036,5,2
23,19080036,3,3
24,19080038,,0
25,19080039,2,4
25,19080039,7,2
26,19080041,0,1
26,19080041,2,2
27,19080043,0,1
27,19080043,1,3
27,19080043,6,2
27,19080043,2,1
27,19080043,8,2
27,19080043,3,2
28,19080044,,0
29,19080045,4,1
29,19080045,0,3
29,19080045,6,3
30,19080046,8,1
31,19080047,4,3
31,19080047,2,2
31,19080047,7,1
32,19080049,3,5
33,19080050,0,2
33,19080050,1,4
33,19080050,2,1
33,19080050,7,6
34,19080051,4,3
34,19080051,1,5
34,19080051,2,2
34,19080051,7,4
34,19080051,8,1
34,19080051,3,1
35,19080052,0,4
35,19080052,1,6
35,19080052,7,1
35,19080052,3,3
36,19080053,4,2
36,19080053,1,3
36,19080053,6,4
36,19080053,8,2
37,19080054,4,3
37,19080054,5,1
38,19080057,1,2
38,19080057,6,1
38,19080057,8,1
39,19080058,6,6
39,19080058,2,1
39,19080058,5,2
39,19080058,3,2
40,19080059,,0
41,19080060,1,1
42,19080061,4,4
42,19080061,2,3
42,19080061,8,2
42,19080061,3,2
43,19080062,1,1
43,19080062,6,2
44,19080064,0,2
44,19080064,2,3
44,19080064,7,3
44,19080064,8,2
44,19080064,5,5
45,19080065,4,5
45,19080065,7,3
45,19080065,3,4
46,19080066,4,3
46,19080066,5,4
47,19080068,7,7
48,19080072,0,6
48,19080072,1,5
48,19080072,6,5
48,19080072,7,6
49,19080073,6,1
49,19080073,8,4
49,19080073,3,1
50,19080075,4,1
50,19080075,1,1
50,19080075,6,4
50,19080075,2,4
50,19080075,5,6
51,19080076,4,3
51,19080076,1,4
52,19080077,0,8
52,19080077,1,4
53,19080078,0,2
53,19080078,6,1
53,19080078,5,2
53,19080078,3,1
54,19080079,4,5
54,19080079,0,3
54,19080079,1,1
54,19080079,8,2
54,19080079,5,5
55,19080080,4,1
55,19080080,2,3
55,19080080,8,3
56,19080081,4,4
56,19080081,1,2
56,19080081,5,1
57,19080084,1,1
57,19080084,7,1
58,19080085,1,2
58,19080085,6,5
59,19080085,1,2
59,19080085,6,5
60,19080087,6,4
60,19080087,5,3
60,19080087,3,2
