,applicant_id,strength_id
0,19080000,0
1,19080001,1
2,19080001,2
3,19080001,3
4,19080002,4
5,19080002,5
6,19080002,1
7,19080003,6
8,19080007,7
9,19080008,7
10,19080008,8
11,19080009,9
12,19080010,10
13,19080010,5
14,19080010,6
15,19080011,11
16,19080011,6
17,19080013,12
18,19080013,13
19,19080013,3
20,19080014,14
21,19080014,6
22,19080016,15
23,19080016,6
24,19080016,7
25,19080017,2
26,19080017,10
27,19080017,16
28,19080018,7
29,19080018,10
30,19080021,6
31,19080021,7
32,19080023,17
33,19080023,5
34,19080025,3
35,19080025,12
36,19080027,5
37,19080028,3
38,19080028,17
39,19080028,1
40,19080030,18
41,19080031,19
42,19080031,5
43,19080032,20
44,19080032,13
45,19080035,3
46,19080036,19
47,19080036,3
48,19080036,17
49,19080038,18
50,19080038,3
51,19080038,1
52,19080039,21
53,19080039,0
54,19080041,11
55,19080043,6
56,19080044,21
57,19080045,13
58,19080045,0
59,19080046,11
60,19080047,17
61,19080047,13
62,19080047,5
63,19080049,9
64,19080049,2
65,19080050,11
66,19080051,5
67,19080051,10
68,19080052,2
69,19080053,8
70,19080053,22
71,19080053,9
72,19080054,2
73,19080054,6
74,19080057,8
75,19080057,22
76,19080057,6
77,19080058,7
78,19080059,10
79,19080059,5
80,19080060,17
81,19080061,23
82,19080061,6
83,19080061,11
84,19080062,3
85,19080064,16
86,19080064,9
87,19080065,5
88,19080065,6
89,19080066,6
90,19080068,20
91,19080072,7
92,19080072,16
93,19080072,6
94,19080073,2
95,19080073,21
96,19080073,18
97,19080075,4
98,19080075,10
99,19080075,7
100,19080076,5
101,19080076,20
102,19080076,18
103,19080077,11
104,19080077,2
105,19080077,4
106,19080078,4
107,19080078,18
108,19080079,5
109,19080080,0
110,19080080,9
111,19080080,14
112,19080081,8
113,19080081,6
114,19080084,2
115,19080084,13
116,19080084,23
117,19080085,2
118,19080085,21
119,19080085,18
120,19080085,2
121,19080085,21
122,19080085,18
123,19080087,10
124,19080089,16
125,19080090,21
126,19080092,12
127,19080092,13
128,19080092,22
129,19080093,8
130,19080093,15
131,19080093,16
132,19080095,0
133,19080096,3
134,19080097,7
135,19080098,16
136,19080099,19
137,19080099,0
138,19080099,8
139,19080101,17
140,19080102,6
141,19080102,11
142,19080102,12
143,19080104,17
144,19080104,21
145,19080106,13
146,19080106,2
147,19080107,4
148,19080107,2
149,19080107,15
150,19080108,15
151,19080108,4
152,19080109,8
153,19080109,0
154,19080110,21
155,19080110,10
156,19080111,0
157,19080111,23
158,19080111,2
159,19080112,20
160,19080112,7
161,19080114,24
162,19080115,6
163,19080115,12
164,19080115,4
165,19080116,2
166,19080117,7
167,19080117,23
168,19080120,24
169,19080121,19
170,19080121,15
171,19080123,10
172,19080124,21
173,19080124,4
174,19080125,12
175,19080125,9
176,19080126,21
177,19080126,9
178,19080126,1
179,19080128,6
180,19080128,7
181,19080129,14
182,19080130,1
183,19080131,16
184,19080131,23
185,19080132,18
186,19080134,0
187,19080134,12
188,19080134,21
189,19080136,12
190,19080138,8
191,19080138,18
192,19080138,15
193,19080139,4
194,19080139,8
195,19080140,5
196,19080140,3
197,19080141,14
198,19080141,5
199,19080141,15
200,19080142,20
201,19080142,0
202,19080143,13
203,19080144,12
204,19080145,3
205,19080148,0
206,19080148,6
207,19080148,23
208,19080149,21
209,19080149,17
210,19080149,14
211,19080151,11
212,19080151,1
213,19080151,8
214,19080152,12
215,19080152,20
216,19080152,0
217,19080153,14
218,19080154,21
219,19080154,14
220,19080154,10
221,19080156,3
222,19080158,19
223,19080158,7
224,19080159,10
225,19080159,11
226,19080159,18
227,19080162,8
228,19080165,14
229,19080167,3
230,19080167,17
231,19080168,5
232,19080168,21
233,19080169,14
234,19080170,3
235,19080170,12
236,19080170,1
237,19080171,4
238,19080173,16
239,19080173,22
240,19080174,17
241,19080174,24
242,19080174,23
243,19080175,6
244,19080175,19
245,19080175,18
246,19080179,9
247,19080179,18
248,19080179,16
249,19080180,23
250,19080181,20
251,19080181,24
252,19080181,4
253,19080182,13
254,19080182,4
255,19080184,17
256,19080184,6
257,19080187,20
258,19080187,13
259,19080191,22
260,19080191,16
261,19080191,9
262,19080192,2
263,19080192,21
264,19080192,24
265,19080193,22
266,19080193,13
267,19080194,2
268,19080194,12
269,19080194,9
270,19080195,4
271,19080195,11
272,19080196,12
273,19080196,9
274,19080197,16
275,19080197,5
276,19080198,1
277,19080198,21
278,19080199,7
279,19080199,3
280,19080200,15
281,19080200,1
282,19080200,3
283,19080201,4
284,19080201,13
285,19080201,15
286,19080202,23
287,19080202,11
288,19080203,3
289,19080203,4
290,19080206,6
291,19080206,7
292,19080207,12
293,19080207,17
294,19080207,20
295,19080209,19
296,19080209,5
297,19080209,22
298,19080210,21
299,19080211,12
300,19080212,19
301,19080212,5
302,19080213,5
303,19080214,17
304,19080214,20
305,19080215,9
306,19080215,21
307,19080216,12
308,19080216,9
309,19080216,13
310,19080217,24
311,19080217,22
312,19080217,24
313,19080217,22
314,19080218,4
315,19080218,17
316,19080220,3
317,19080220,12
318,19080220,10
319,19080221,22
320,19080221,17
321,19080222,16
322,19080222,17
323,19080223,21
324,19080224,5
325,19080225,20
326,19080226,16
327,19080226,5
328,19080226,19
329,19080227,3
330,19080227,10
331,19080227,4
332,19080228,0
333,19080228,4
334,19080228,9
335,19080229,23
336,19080229,14
337,19080229,12
338,19080231,12
339,19080231,3
340,19080231,7
341,19080233,9
342,19080233,2
343,19080233,6
344,19080234,12
345,19080235,3
346,19080235,6
347,19080236,4
348,19080236,7
349,19080236,15
350,19080238,19
351,19080238,1
352,19080242,12
353,19080242,22
354,19080244,17
355,19080244,13
356,19080245,23
357,19080245,24
358,19080246,9
359,19080246,3
360,19080247,13
361,19080247,20
362,19080248,8
363,19080248,22
364,19080248,7
365,19080249,9
366,19080250,4
367,19080251,23
368,19080251,13
369,19080251,22
370,19080252,9
371,19080252,16
372,19080253,20
373,19080253,14
374,19080253,2
375,19080254,5
376,19080254,24
377,19080255,2
378,19080255,11
379,19080255,20
380,19080256,23
381,19080257,15
382,19080258,3
383,19080259,20
384,19080259,16
385,19080260,14
386,19080260,15
387,19080260,16
388,19080261,5
389,19080263,22
390,19080264,24
391,19080266,11
392,19080266,18
393,19080266,16
394,19080267,17
395,19080267,23
396,19080270,14
397,19080272,16
398,19080276,15
399,19080276,10
400,19080277,9
401,19080277,17
402,19080277,15
403,19080278,17
404,19080279,5
405,19080279,20
406,19080279,16
407,19080281,16
