,applicant_id,week_number,behaviour,score
0,19010279,1,Analytic,1
1,19010279,1,Independent,2
2,19010279,1,Determined,2
3,19010279,1,Professional,1
4,19010279,1,Studious,2
5,19010279,1,Imaginative,2
6,19010206,1,Analytic,6
7,19010206,1,Independent,1
8,19010206,1,Determined,1
9,19010206,1,Professional,2
10,19010206,1,Studious,4
11,19010206,1,Imaginative,2
12,19010206,2,Analytic,3
13,19010206,2,Independent,1
14,19010206,2,Determined,3
15,19010206,2,Professional,2
16,19010206,2,Studious,1
17,19010206,2,Imaginative,1
18,19010173,1,Analytic,6
19,19010173,1,Independent,4
20,19010173,1,Determined,1
21,19010173,1,Professional,1
22,19010173,1,Studious,2
23,19010173,1,Imaginative,3
24,19010173,2,Analytic,1
25,19010173,2,Independent,1
26,19010173,2,Determined,1
27,19010173,2,Professional,2
28,19010173,2,Studious,1
29,19010173,2,Imaginative,6
30,19010173,3,Analytic,6
31,19010173,3,Independent,2
32,19010173,3,Determined,2
33,19010173,3,Professional,3
34,19010173,3,Studious,3
35,19010173,3,Imaginative,2
36,19010173,4,Analytic,5
37,19010173,4,Independent,1
38,19010173,4,Determined,3
39,19010173,4,Professional,7
40,19010173,4,Studious,6
41,19010173,4,Imaginative,2
42,19010173,5,Analytic,6
43,19010173,5,Independent,8
44,19010173,5,Determined,4
45,19010173,5,Professional,8
46,19010173,5,Studious,1
47,19010173,5,Imaginative,8
48,19010173,6,Analytic,7
49,19010173,6,Independent,3
50,19010173,6,Determined,5
51,19010173,6,Professional,8
52,19010173,6,Studious,8
53,19010173,6,Imaginative,7
54,19010173,7,Analytic,8
55,19010173,7,Independent,5
56,19010173,7,Determined,8
57,19010173,7,Professional,8
58,19010173,7,Studious,8
59,19010173,7,Imaginative,6
60,19010173,8,Analytic,8
61,19010173,8,Independent,7
62,19010173,8,Determined,8
63,19010173,8,Professional,8
64,19010173,8,Studious,7
65,19010173,8,Imaginative,8
66,19010083,1,Analytic,2
67,19010083,1,Independent,1
68,19010083,1,Determined,2
69,19010083,1,Professional,3
70,19010083,1,Studious,3
71,19010083,1,Imaginative,3
72,19010083,2,Analytic,4
73,19010083,2,Independent,2
74,19010083,2,Determined,1
