,applicant_id,language_name,score
0,19080000,0,6
1,19080000,1,5
2,19080000,2,2
3,19080000,3,2
4,19080001,4,1
5,19080001,0,4
6,19080001,1,2
7,19080001,5,4
8,19080002,6,4
9,19080002,5,4
10,19080003,1,3
11,19080003,7,4
12,19080007,4,3
13,19080007,1,4
14,19080007,6,1
15,19080007,2,2
16,19080007,8,2
17,19080007,5,3
18,19080008,0,3
19,19080008,1,1
20,19080008,8,4
21,19080009,7,3
22,19080009,8,3
23,19080009,5,2
24,19080010,6,2
25,19080010,2,5
26,19080010,7,1
27,19080010,3,1
28,19080011,4,8
29,19080011,6,2
30,19080011,3,2
31,19080013,4,3
32,19080013,0,2
33,19080013,5,5
34,19080013,3,1
35,19080014,8,3
36,19080014,3,4
37,19080016,4,3
38,19080016,6,4
39,19080016,3,2
40,19080017,4,4
41,19080017,6,5
42,19080017,2,7
43,19080017,5,1
44,19080018,8,2
45,19080021,4,4
46,19080021,0,3
47,19080021,1,3
48,19080023,4,4
49,19080023,0,3
50,19080023,6,3
51,19080023,3,3
52,19080025,4,3
53,19080025,0,3
54,19080025,7,2
55,19080025,8,1
56,19080027,4,2
57,19080027,0,7
58,19080027,6,4
59,19080027,3,2
60,19080028,,0
61,19080030,5,1
62,19080031,0,4
63,19080031,1,5
64,19080032,4,2
65,19080032,0,1
66,19080032,6,2
67,19080032,5,3
68,19080035,4,1
69,19080035,0,3
70,19080035,2,2
71,19080035,7,2
72,19080036,6,6
73,19080036,2,4
74,19080036,7,4
75,19080036,5,2
76,19080036,3,3
77,19080038,,0
78,19080039,2,4
79,19080039,7,2
80,19080041,0,1
81,19080041,2,2
82,19080043,0,1
83,19080043,1,3
84,19080043,6,2
85,19080043,2,1
86,19080043,8,2
87,19080043,3,2
88,19080044,,0
89,19080045,4,1
90,19080045,0,3
91,19080045,6,3
92,19080046,8,1
93,19080047,4,3
94,19080047,2,2
95,19080047,7,1
96,19080049,3,5
97,19080050,0,2
98,19080050,1,4
99,19080050,2,1
100,19080050,7,6
101,19080051,4,3
102,19080051,1,5
103,19080051,2,2
104,19080051,7,4
105,19080051,8,1
106,19080051,3,1
107,19080052,0,4
108,19080052,1,6
109,19080052,7,1
110,19080052,3,3
111,19080053,4,2
112,19080053,1,3
113,19080053,6,4
114,19080053,8,2
115,19080054,4,3
116,19080054,5,1
117,19080057,1,2
118,19080057,6,1
119,19080057,8,1
120,19080058,6,6
121,19080058,2,1
122,19080058,5,2
123,19080058,3,2
124,19080059,,0
125,19080060,1,1
126,19080061,4,4
127,19080061,2,3
128,19080061,8,2
129,19080061,3,2
130,19080062,1,1
131,19080062,6,2
132,19080064,0,2
133,19080064,2,3
134,19080064,7,3
135,19080064,8,2
136,19080064,5,5
137,19080065,4,5
138,19080065,7,3
139,19080065,3,4
140,19080066,4,3
141,19080066,5,4
142,19080068,7,7
143,19080072,0,6
144,19080072,1,5
145,19080072,6,5
146,19080072,7,6
147,19080073,6,1
148,19080073,8,4
149,19080073,3,1
150,19080075,4,1
151,19080075,1,1
152,19080075,6,4
153,19080075,2,4
154,19080075,5,6
155,19080076,4,3
156,19080076,1,4
157,19080077,0,8
158,19080077,1,4
159,19080078,0,2
160,19080078,6,1
161,19080078,5,2
162,19080078,3,1
163,19080079,4,5
164,19080079,0,3
165,19080079,1,1
166,19080079,8,2
167,19080079,5,5
168,19080080,4,1
169,19080080,2,3
170,19080080,8,3
171,19080081,4,4
172,19080081,1,2
173,19080081,5,1
174,19080084,1,1
175,19080084,7,1
176,19080085,1,2
177,19080085,6,5
178,19080085,1,2
179,19080085,6,5
180,19080087,6,4
181,19080087,5,3
182,19080087,3,2
183,19080089,4,1
184,19080089,7,2
185,19080089,3,3
186,19080090,7,5
187,19080090,5,4
188,19080092,0,1
189,19080092,8,2
190,19080092,5,1
191,19080093,1,7
192,19080093,6,2
193,19080093,2,2
194,19080095,0,1
195,19080096,1,1
196,19080096,7,1
197,19080096,3,4
198,19080097,0,2
199,19080097,7,4
200,19080097,3,3
201,19080098,7,2
202,19080098,8,5
203,19080098,5,8
204,19080099,4,6
205,19080099,1,3
206,19080101,0,2
207,19080101,6,2
208,19080101,8,1
209,19080102,7,3
210,19080102,8,2
211,19080104,6,1
212,19080104,2,1
213,19080104,7,1
214,19080104,3,3
215,19080106,1,2
216,19080106,2,5
217,19080106,5,2
218,19080106,3,3
219,19080107,7,3
220,19080107,8,1
221,19080107,5,1
222,19080108,4,4
223,19080108,6,2
224,19080108,7,3
225,19080108,5,6
226,19080109,4,7
227,19080109,6,7
228,19080109,5,2
229,19080109,3,1
230,19080110,4,2
231,19080110,0,1
232,19080110,2,5
233,19080110,7,1
234,19080111,0,2
235,19080111,1,3
236,19080111,6,7
237,19080111,2,1
238,19080112,8,3
239,19080114,0,5
240,19080114,6,4
241,19080114,2,5
242,19080114,7,7
243,19080114,8,1
244,19080115,4,1
245,19080115,1,3
246,19080115,5,1
247,19080116,4,7
248,19080116,0,1
249,19080116,2,2
250,19080116,7,3
251,19080116,5,6
252,19080117,1,2
253,19080117,2,3
254,19080117,8,1
255,19080117,3,6
256,19080120,4,3
257,19080120,0,3
258,19080120,6,4
259,19080120,5,1
260,19080121,1,4
261,19080123,0,1
262,19080124,0,3
263,19080124,2,1
264,19080124,3,3
265,19080125,4,4
266,19080125,1,6
267,19080125,6,2
268,19080125,7,3
269,19080125,8,4
270,19080126,7,4
271,19080126,5,6
272,19080128,4,4
273,19080128,1,2
274,19080128,6,5
275,19080128,5,6
276,19080128,3,2
277,19080129,4,4
278,19080129,0,1
279,19080129,2,3
280,19080130,0,4
281,19080130,2,2
282,19080130,3,2
283,19080131,1,3
